abilities sim: 116,287,920 round-sims in 40.6s

== calm ==
  arm       lev  liq | fire%  | liq% base→arm  | houseEV% base→arm | Δhouse% ±95CI
airbag    1500  0.20 |  81.03 |  81.03→  81.03 |  -8.47→ -11.56 | -3.094±0.036
airbag    2000  0.20 |  84.16 |  84.16→  84.16 | -19.37→ -21.79 | -2.423±0.033
airbag    3000  0.20 |  87.27 |  87.27→  87.27 | -41.91→ -43.52 | -1.612±0.026
flipper     50  0.10 |  95.40 |   0.00→   0.00 |   5.00→   5.06 |  0.064±0.093
flipper    200  0.10 |  93.47 |  14.56→  14.50 |   5.72→   5.94 |  0.219±0.369
flipper    500  0.10 |  76.37 |  52.98→  52.97 |   3.44→   4.24 |  0.799±0.896
flipper   1000  0.10 |  55.56 |  72.32→  72.56 |  -5.78→  -4.16 |  1.619±1.500
flipper   1500  0.10 |  44.78 |  79.41→  79.55 | -16.04→ -14.37 |  1.662±1.984
flipper   2000  0.10 |  38.34 |  82.99→  83.18 | -26.75→ -24.44 |  2.301±2.382
flipper   3000  0.10 |  31.57 |  86.49→  86.63 | -49.33→ -46.88 |  2.456±3.130
flipper     50  0.20 |  95.40 |   0.00→   0.00 |   5.00→   5.06 |  0.064±0.093
flipper    200  0.20 |  92.40 |  19.40→  19.25 |   7.81→   8.01 |  0.197±0.385
flipper    500  0.20 |  72.92 |  57.12→  57.02 |   8.83→   9.40 |  0.566±0.892
flipper   1000  0.20 |  52.22 |  74.60→  74.83 |   0.92→   2.35 |  1.423±1.469
flipper   1500  0.20 |  42.00 |  81.03→  81.21 |  -8.47→  -6.67 |  1.794±1.917
flipper   2000  0.20 |  36.13 |  84.16→  84.34 | -19.37→ -17.36 |  2.014±2.372
flipper   3000  0.20 |  30.02 |  87.27→  87.38 | -41.91→ -39.51 |  2.400±3.046
flux15      50  0.10 |   0.17 |   0.00→   0.00 |   5.00→   5.00 | -0.000±0.001
flux15     200  0.10 |  40.04 |  14.56→  14.51 |   5.72→   5.75 |  0.030±0.094
flux15     500  0.10 |  61.58 |  52.98→  49.82 |   3.44→   3.70 |  0.263±0.402
flux15    1000  0.10 |  60.54 |  72.32→  68.03 |  -5.78→  -4.51 |  1.266±0.799
flux15    1500  0.10 |  58.97 |  79.41→  75.31 | -16.04→ -14.57 |  1.467±1.178
flux15    2000  0.10 |  57.63 |  82.99→  79.29 | -26.75→ -25.49 |  1.252±1.550
flux15    3000  0.10 |  55.70 |  86.49→  83.55 | -49.33→ -46.87 |  2.462±2.257
flux15      50  0.20 |   0.17 |   0.00→   0.00 |   5.00→   5.00 | -0.000±0.001
flux15     200  0.20 |  40.01 |  19.40→  19.29 |   7.81→   7.82 |  0.014±0.094
flux15     500  0.20 |  59.31 |  57.12→  53.76 |   8.83→   8.75 | -0.084±0.405
flux15    1000  0.20 |  58.43 |  74.60→  70.44 |   0.92→   1.59 |  0.662±0.832
flux15    1500  0.20 |  57.00 |  81.03→  77.09 |  -8.47→  -8.00 |  0.471±1.188
flux15    2000  0.20 |  55.89 |  84.16→  80.73 | -19.37→ -18.14 |  1.227±1.536
flux15    3000  0.20 |  54.35 |  87.27→  84.48 | -41.91→ -39.84 |  2.073±2.261
flux20      50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
flux20     200  0.10 |  10.78 |  14.56→  14.56 |   5.72→   5.76 |  0.039±0.038
flux20     500  0.10 |  44.09 |  52.98→  51.96 |   3.44→   3.63 |  0.196±0.269
flux20    1000  0.10 |  47.94 |  72.32→  69.02 |  -5.78→  -4.79 |  0.983±0.715
flux20    1500  0.10 |  48.07 |  79.41→  75.98 | -16.04→ -14.76 |  1.272±1.042
flux20    2000  0.10 |  48.31 |  82.99→  79.66 | -26.75→ -25.43 |  1.319±1.422
flux20    3000  0.10 |  48.75 |  86.49→  83.56 | -49.33→ -47.29 |  2.042±2.117
flux20      50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
flux20     200  0.20 |  10.78 |  19.40→  19.40 |   7.81→   7.85 |  0.039±0.038
flux20     500  0.20 |  42.48 |  57.12→  55.96 |   8.83→   8.88 |  0.053±0.277
flux20    1000  0.20 |  45.75 |  74.60→  71.37 |   0.92→   1.57 |  0.650±0.718
flux20    1500  0.20 |  46.02 |  81.03→  77.66 |  -8.47→  -8.22 |  0.251±1.040
flux20    2000  0.20 |  46.53 |  84.16→  81.02 | -19.37→ -18.23 |  1.144±1.402
flux20    3000  0.20 |  47.40 |  87.27→  84.49 | -41.91→ -40.25 |  1.657±2.115
heavy       50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
heavy      200  0.10 |   0.00 |  14.56→  23.73 |   5.72→   6.17 |  0.450±0.125
heavy      500  0.10 |   0.00 |  52.98→  60.77 |   3.44→   3.01 | -0.427±0.426
heavy     1000  0.10 |   0.00 |  72.32→  77.12 |  -5.78→  -6.72 | -0.943±0.671
heavy     1500  0.10 |   0.00 |  79.41→  83.03 | -16.04→ -17.36 | -1.327±0.900
heavy     2000  0.10 |   0.00 |  82.99→  86.03 | -26.75→ -28.39 | -1.641±1.062
heavy     3000  0.10 |   0.00 |  86.49→  88.89 | -49.33→ -50.55 | -1.212±1.325
heavy       50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.001
heavy      200  0.20 |   0.00 |  19.40→  28.94 |   7.81→   9.12 |  1.305±0.138
heavy      500  0.20 |   0.00 |  57.12→  64.29 |   8.83→   9.07 |  0.238±0.420
heavy     1000  0.20 |   0.00 |  74.60→  79.03 |   0.92→   0.30 | -0.622±0.652
heavy     1500  0.20 |   0.00 |  81.03→  84.40 |  -8.47→  -9.35 | -0.881±0.842
heavy     2000  0.20 |   0.00 |  84.16→  86.98 | -19.37→ -20.71 | -1.342±1.014
heavy     3000  0.20 |   0.00 |  87.27→  89.53 | -41.91→ -42.89 | -0.984±1.295
nitro       50  0.10 | 100.00 |   0.00→   0.01 |   5.00→   5.00 |  0.001±0.001
nitro      200  0.10 | 100.00 |  14.56→  29.40 |   5.72→   5.44 | -0.273±0.180
nitro      500  0.10 | 100.00 |  52.98→  63.76 |   3.44→  -1.31 | -4.743±0.544
nitro     1000  0.10 |  98.39 |  72.32→  77.76 |  -5.78→ -19.29 |-13.512±0.950
nitro     1500  0.10 |  92.34 |  79.41→  82.61 | -16.04→ -38.03 |-21.999±1.342
nitro     2000  0.10 |  85.87 |  82.99→  84.32 | -26.75→ -39.30 |-12.551±1.052
nitro     3000  0.10 |   0.00 |  86.49→  86.49 | -49.33→ -49.33 |  0.000±0.000
nitro       50  0.20 | 100.00 |   0.00→   0.05 |   5.00→   5.01 |  0.009±0.003
nitro      200  0.20 | 100.00 |  19.40→  34.63 |   7.81→   8.84 |  1.034±0.202
nitro      500  0.20 | 100.00 |  57.12→  66.87 |   8.83→   4.74 | -4.091±0.559
nitro     1000  0.20 |  97.20 |  74.60→  79.37 |   0.92→ -12.39 |-13.318±0.925
nitro     1500  0.20 |  89.83 |  81.03→  83.77 |  -8.47→ -30.57 |-22.099±1.308
nitro     2000  0.20 |  83.06 |  84.16→  85.28 | -19.37→ -32.34 |-12.969±1.001
nitro     3000  0.20 |   0.00 |  87.27→  87.27 | -41.91→ -41.91 |  0.000±0.000
pinkBoth    50  0.10 |   0.17 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.001
pinkBoth   200  0.10 |  50.72 |  14.56→   0.00 |   5.72→   4.93 | -0.790±0.176
pinkBoth   500  0.10 |  97.06 |  52.98→   1.42 |   3.44→   4.71 |  1.277±0.563
pinkBoth  1000  0.10 |  87.60 |  72.32→  12.40 |  -5.78→   3.85 |  9.625±1.063
pinkBoth  1500  0.10 |  76.84 |  79.41→  23.16 | -16.04→   0.52 | 16.553±1.498
pinkBoth  2000  0.10 |  69.09 |  82.99→  30.91 | -26.75→  -4.67 | 22.074±1.802
pinkBoth  3000  0.10 |  61.20 |  86.49→  38.80 | -49.33→ -18.36 | 30.975±2.392
pinkBoth    50  0.20 |   0.17 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.001
pinkBoth   200  0.20 |  50.72 |  19.40→   0.00 |   7.81→   4.93 | -2.883±0.176
pinkBoth   500  0.20 |  93.98 |  57.12→   4.50 |   8.83→   5.18 | -3.654±0.541
pinkBoth  1000  0.20 |  80.45 |  74.60→  19.55 |   0.92→   4.89 |  3.964±1.060
pinkBoth  1500  0.20 |  69.71 |  81.03→  30.29 |  -8.47→   1.54 | 10.011±1.416
pinkBoth  2000  0.20 |  63.07 |  84.16→  36.93 | -19.37→  -3.81 | 15.564±1.734
pinkBoth  3000  0.20 |  56.96 |  87.27→  43.04 | -41.91→ -17.76 | 24.155±2.420
pinkSL      50  0.10 |   0.17 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.001
pinkSL     200  0.10 |  40.05 |  14.56→   0.00 |   5.72→   4.90 | -0.817±0.158
pinkSL     500  0.10 |  68.43 |  52.98→   1.57 |   3.44→   4.48 |  1.042±0.337
pinkSL    1000  0.10 |  65.63 |  72.32→  16.17 |  -5.78→   3.20 |  8.982±0.638
pinkSL    1500  0.10 |  53.49 |  79.41→  32.24 | -16.04→  -1.65 | 14.382±0.900
pinkSL    2000  0.10 |  43.27 |  82.99→  44.36 | -26.75→  -9.45 | 17.292±1.000
pinkSL    3000  0.10 |  30.48 |  86.49→  58.99 | -49.33→ -29.45 | 19.884±1.091
pinkSL      50  0.20 |   0.17 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.001
pinkSL     200  0.20 |  40.05 |  19.40→   0.00 |   7.81→   4.90 | -2.910±0.159
pinkSL     500  0.20 |  65.02 |  57.12→   4.99 |   8.83→   4.99 | -3.839±0.309
pinkSL    1000  0.20 |  56.20 |  74.60→  25.60 |   0.92→   4.58 |  3.653±0.597
pinkSL    1500  0.20 |  43.47 |  81.03→  42.25 |  -8.47→  -0.21 |  8.255±0.780
pinkSL    2000  0.20 |  34.31 |  84.16→  53.32 | -19.37→  -8.17 | 11.203±0.858
pinkSL    3000  0.20 |  23.58 |  87.27→  65.89 | -41.91→ -28.47 | 13.444±1.012
pinkTP      50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
pinkTP     200  0.10 |  10.78 |  14.56→  14.56 |   5.72→   5.74 |  0.023±0.069
pinkTP     500  0.10 |  44.09 |  52.98→  48.65 |   3.44→   3.89 |  0.456±0.493
pinkTP    1000  0.10 |  47.94 |  72.32→  52.05 |  -5.78→  -2.16 |  3.614±1.015
pinkTP    1500  0.10 |  48.07 |  79.41→  51.93 | -16.04→  -7.97 |  8.067±1.456
pinkTP    2000  0.10 |  48.31 |  82.99→  51.69 | -26.75→ -14.16 | 12.586±1.774
pinkTP    3000  0.10 |  48.75 |  86.49→  51.25 | -49.33→ -27.92 | 21.413±2.386
pinkTP      50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
pinkTP     200  0.20 |  10.78 |  19.40→  19.40 |   7.81→   7.83 |  0.023±0.069
pinkTP     500  0.20 |  42.48 |  57.12→  52.16 |   8.83→   8.78 | -0.055±0.487
pinkTP    1000  0.20 |  45.75 |  74.60→  54.25 |   0.92→   2.52 |  1.598±1.002
pinkTP    1500  0.20 |  46.02 |  81.03→  53.98 |  -8.47→  -3.36 |  5.108±1.390
pinkTP    2000  0.20 |  46.53 |  84.16→  53.47 | -19.37→  -9.94 |  9.430±1.732
pinkTP    3000  0.20 |  47.40 |  87.27→  52.60 | -41.91→ -24.44 | 17.467±2.405
skull       50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skull      200  0.10 |  14.00 |  14.56→  11.14 |   5.72→   4.64 | -1.075±0.047
skull      500  0.10 |  52.43 |  52.98→  44.84 |   3.44→  -5.14 | -8.579±0.241
skull     1000  0.10 |  71.94 |  72.32→  62.90 |  -5.78→ -29.48 |-23.702±0.556
skull     1500  0.10 |  79.12 |  79.41→  69.63 | -16.04→ -54.75 |-38.713±0.883
skull     2000  0.10 |  82.74 |  82.99→  73.04 | -26.75→ -81.08 |-54.332±1.193
skull     3000  0.10 |  86.30 |  86.49→  76.67 | -49.33→-132.11 |-82.777±1.965
skull       50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skull      200  0.20 |  18.74 |  19.40→  15.06 |   7.81→   5.99 | -1.821±0.062
skull      500  0.20 |  56.60 |  57.12→  48.66 |   8.83→  -1.28 |-10.114±0.253
skull     1000  0.20 |  74.27 |  74.60→  65.10 |   0.92→ -24.40 |-25.322±0.587
skull     1500  0.20 |  80.77 |  81.03→  71.13 |  -8.47→ -49.16 |-40.696±0.873
skull     2000  0.20 |  83.93 |  84.16→  74.24 | -19.37→ -75.17 |-55.802±1.272
skull     3000  0.20 |  87.09 |  87.27→  77.41 | -41.91→-126.53 |-84.621±2.009
skull1      50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skull1     200  0.10 |  14.00 |  14.56→  12.24 |   5.72→   4.96 | -0.760±0.041
skull1     500  0.10 |  52.43 |  52.98→  47.91 |   3.44→  -2.32 | -5.755±0.208
skull1    1000  0.10 |  71.94 |  72.32→  66.59 |  -5.78→ -21.44 |-15.661±0.504
skull1    1500  0.10 |  79.12 |  79.41→  73.44 | -16.04→ -41.84 |-25.804±0.758
skull1    2000  0.10 |  82.74 |  82.99→  77.07 | -26.75→ -61.97 |-35.227±1.085
skull1    3000  0.10 |  86.30 |  86.49→  80.64 | -49.33→-102.78 |-53.445±1.636
skull1      50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skull1     200  0.20 |  18.74 |  19.40→  16.48 |   7.81→   6.54 | -1.272±0.055
skull1     500  0.20 |  56.60 |  57.12→  51.81 |   8.83→   2.00 | -6.835±0.212
skull1    1000  0.20 |  74.27 |  74.60→  68.85 |   0.92→ -15.80 |-16.722±0.512
skull1    1500  0.20 |  80.77 |  81.03→  75.04 |  -8.47→ -35.34 |-26.872±0.814
skull1    2000  0.20 |  83.93 |  84.16→  78.28 | -19.37→ -55.33 |-35.963±1.090
skull1    3000  0.20 |  87.09 |  87.27→  81.43 | -41.91→ -96.39 |-54.480±1.647
skull1s     50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skull1s    200  0.10 |  14.25 |  14.56→  13.00 |   5.72→   5.18 | -0.540±0.035
skull1s    500  0.10 |  52.66 |  52.98→  49.47 |   3.44→  -0.64 | -4.081±0.173
skull1s   1000  0.10 |  72.09 |  72.32→  68.37 |  -5.78→ -16.75 |-10.977±0.416
skull1s   1500  0.10 |  79.24 |  79.41→  75.28 | -16.04→ -34.06 |-18.024±0.680
skull1s   2000  0.10 |  82.84 |  82.99→  78.89 | -26.75→ -51.49 |-24.746±0.935
skull1s   3000  0.10 |  86.40 |  86.49→  82.41 | -49.33→ -87.18 |-37.843±1.389
skull1s     50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skull1s    200  0.20 |  19.01 |  19.40→  17.41 |   7.81→   6.91 | -0.902±0.047
skull1s    500  0.20 |  56.82 |  57.12→  53.43 |   8.83→   3.96 | -4.868±0.181
skull1s   1000  0.20 |  74.40 |  74.60→  70.62 |   0.92→ -10.77 |-11.690±0.427
skull1s   1500  0.20 |  80.88 |  81.03→  76.89 |  -8.47→ -27.45 |-18.980±0.713
skull1s   2000  0.20 |  84.04 |  84.16→  80.06 | -19.37→ -44.76 |-25.390±0.936
skull1s   3000  0.20 |  87.17 |  87.27→  83.18 | -41.91→ -80.64 |-38.730±1.386
skullCashCap   50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullCashCap  200  0.10 |  14.47 |  14.56→   0.00 |   5.72→   4.61 | -1.107±0.024
skullCashCap  500  0.10 |  52.87 |  52.98→   0.00 |   3.44→  -1.99 | -5.429±0.077
skullCashCap 1000  0.10 |  72.26 |  72.32→   0.00 |  -5.78→ -15.03 | -9.252±0.112
skullCashCap 1500  0.10 |  79.33 |  79.41→   0.00 | -16.04→ -27.22 |-11.186±0.124
skullCashCap 2000  0.10 |  82.93 |  82.99→   0.00 | -26.75→ -38.94 |-12.194±0.137
skullCashCap 3000  0.10 |  86.44 |  86.49→   0.00 | -49.33→ -62.49 |-13.157±0.135
skullCashCap   50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullCashCap  200  0.20 |  19.28 |  19.40→   0.00 |   7.81→   4.88 | -2.934±0.044
skullCashCap  500  0.20 |  57.01 |  57.12→   0.00 |   8.83→   0.38 | -8.449±0.088
skullCashCap 1000  0.20 |  74.53 |  74.60→   0.00 |   0.92→ -10.56 |-11.484±0.123
skullCashCap 1500  0.20 |  80.96 |  81.03→   0.00 |  -8.47→ -21.35 |-12.886±0.133
skullCashCap 2000  0.20 |  84.11 |  84.16→   0.00 | -19.37→ -32.87 |-13.501±0.145
skullCashCap 3000  0.20 |  87.24 |  87.27→   0.00 | -41.91→ -55.88 |-13.974±0.141
skullCashV1   50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullCashV1  200  0.10 |  14.47 |  14.56→   0.00 |   5.72→   4.61 | -1.107±0.024
skullCashV1  500  0.10 |  52.87 |  52.98→   0.00 |   3.44→  -2.29 | -5.732±0.084
skullCashV1 1000  0.10 |  72.26 |  72.32→   0.00 |  -5.78→ -18.32 |-12.545±0.174
skullCashV1 1500  0.10 |  79.33 |  79.41→   0.00 | -16.04→ -35.59 |-19.552±0.263
skullCashV1 2000  0.10 |  82.93 |  82.99→   0.00 | -26.75→ -52.79 |-26.043±0.348
skullCashV1 3000  0.10 |  86.44 |  86.49→   0.00 | -49.33→ -88.15 |-38.818±0.497
skullCashV1   50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullCashV1  200  0.20 |  19.28 |  19.40→   0.00 |   7.81→   4.88 | -2.935±0.044
skullCashV1  500  0.20 |  57.01 |  57.12→   0.00 |   8.83→  -0.28 | -9.112±0.102
skullCashV1 1000  0.20 |  74.53 |  74.60→   0.00 |   0.92→ -15.26 |-16.179±0.203
skullCashV1 1500  0.20 |  80.96 |  81.03→   0.00 |  -8.47→ -31.59 |-23.120±0.284
skullCashV1 2000  0.20 |  84.11 |  84.16→   0.00 | -19.37→ -49.00 |-29.626±0.384
skullCashV1 3000  0.20 |  87.24 |  87.27→   0.00 | -41.91→ -83.93 |-42.018±0.516
skullCashV2   50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullCashV2  200  0.10 |  14.47 |  14.56→   8.92 |   5.72→   4.82 | -0.901±0.023
skullCashV2  500  0.10 |  52.87 |  52.98→  33.94 |   3.44→  -1.99 | -5.428±0.085
skullCashV2 1000  0.10 |  72.26 |  72.32→  46.77 |  -5.78→ -18.12 |-12.338±0.175
skullCashV2 1500  0.10 |  79.33 |  79.41→  51.24 | -16.04→ -35.44 |-19.402±0.263
skullCashV2 2000  0.10 |  82.93 |  82.99→  53.63 | -26.75→ -52.67 |-25.924±0.348
skullCashV2 3000  0.10 |  86.44 |  86.49→  56.18 | -49.33→ -88.07 |-38.737±0.497
skullCashV2   50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullCashV2  200  0.20 |  19.28 |  19.40→  12.01 |   7.81→   5.91 | -1.896±0.043
skullCashV2  500  0.20 |  57.01 |  57.12→  36.63 |   8.83→   1.06 | -7.770±0.107
skullCashV2 1000  0.20 |  74.53 |  74.60→  48.30 |   0.92→ -14.39 |-15.311±0.204
skullCashV2 1500  0.20 |  80.96 |  81.03→  52.19 |  -8.47→ -30.98 |-22.508±0.286
skullCashV2 2000  0.20 |  84.11 |  84.16→  54.39 | -19.37→ -48.52 |-29.148±0.385
skullCashV2 3000  0.20 |  87.24 |  87.27→  56.94 | -41.91→ -83.60 |-41.689±0.517
skullGate   50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullGate  200  0.10 |  14.00 |  14.56→  11.14 |   5.72→   4.64 | -1.075±0.047
skullGate  500  0.10 |  52.43 |  52.98→  44.84 |   3.44→  -5.14 | -8.579±0.241
skullGate 1000  0.10 |  71.94 |  72.32→  62.90 |  -5.78→ -29.48 |-23.702±0.556
skullGate 1500  0.10 |   0.00 |  79.41→  79.41 | -16.04→ -16.04 |  0.000±0.000
skullGate 2000  0.10 |   0.00 |  82.99→  82.99 | -26.75→ -26.75 |  0.000±0.000
skullGate 3000  0.10 |   0.00 |  86.49→  86.49 | -49.33→ -49.33 |  0.000±0.000
skullGate   50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullGate  200  0.20 |  18.74 |  19.40→  15.06 |   7.81→   5.99 | -1.821±0.062
skullGate  500  0.20 |  56.60 |  57.12→  48.66 |   8.83→  -1.28 |-10.114±0.253
skullGate 1000  0.20 |  74.27 |  74.60→  65.10 |   0.92→ -24.40 |-25.322±0.587
skullGate 1500  0.20 |   0.00 |  81.03→  81.03 |  -8.47→  -8.47 |  0.000±0.000
skullGate 2000  0.20 |   0.00 |  84.16→  84.16 | -19.37→ -19.37 |  0.000±0.000
skullGate 3000  0.20 |   0.00 |  87.27→  87.27 | -41.91→ -41.91 |  0.000±0.000
skullMini   50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullMini  200  0.10 |  14.56 |  14.56→   3.24 |   5.72→  -1.05 | -6.768±0.121
skullMini  500  0.10 |  52.98 |  52.98→  34.26 |   3.44→ -22.15 |-25.589±0.426
skullMini 1000  0.10 |  72.32 |  72.32→  58.10 |  -5.78→ -48.17 |-42.394±0.716
skullMini 1500  0.10 |  79.41 |  79.41→  67.21 | -16.04→ -72.46 |-56.421±1.106
skullMini 2000  0.10 |  82.99 |  82.99→  71.96 | -26.75→ -96.14 |-69.393±1.340
skullMini 3000  0.10 |  86.49 |  86.49→  76.60 | -49.33→-144.75 |-95.419±2.155
skullMini   50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullMini  200  0.20 |  19.40 |  19.40→   6.59 |   7.81→  -0.50 | -8.312±0.136
skullMini  500  0.20 |  57.12 |  57.12→  40.84 |   8.83→ -15.13 |-23.964±0.402
skullMini 1000  0.20 |  74.60 |  74.60→  62.16 |   0.92→ -37.66 |-38.580±0.765
skullMini 1500  0.20 |  81.03 |  81.03→  70.09 |  -8.47→ -60.50 |-52.035±1.047
skullMini 2000  0.20 |  84.16 |  84.16→  74.02 | -19.37→ -84.49 |-65.119±1.368
skullMini 3000  0.20 |  87.27 |  87.27→  78.01 | -41.91→-132.60 |-90.685±2.134
skullMiniHalf   50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullMiniHalf  200  0.10 |  14.56 |  14.56→   0.57 |   5.72→  -1.16 | -6.880±0.101
skullMiniHalf  500  0.10 |  52.98 |  52.98→  23.32 |   3.44→ -20.59 |-24.032±0.283
skullMiniHalf 1000  0.10 |  72.32 |  72.32→  50.06 |  -5.78→ -41.14 |-35.362±0.427
skullMiniHalf 1500  0.10 |  79.41 |  79.41→  61.68 | -16.04→ -58.92 |-42.887±0.653
skullMiniHalf 2000  0.10 |  82.99 |  82.99→  67.74 | -26.75→ -76.32 |-49.578±0.816
skullMiniHalf 3000  0.10 |  86.49 |  86.49→  73.79 | -49.33→-111.82 |-62.486±1.172
skullMiniHalf   50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullMiniHalf  200  0.20 |  19.40 |  19.40→   2.18 |   7.81→  -1.05 | -8.860±0.112
skullMiniHalf  500  0.20 |  57.12 |  57.12→  31.22 |   8.83→ -14.04 |-22.866±0.288
skullMiniHalf 1000  0.20 |  74.60 |  74.60→  56.09 |   0.92→ -30.38 |-31.303±0.448
skullMiniHalf 1500  0.20 |  81.03 |  81.03→  65.92 |  -8.47→ -46.54 |-38.072±0.622
skullMiniHalf 2000  0.20 |  84.16 |  84.16→  70.93 | -19.37→ -63.68 |-44.308±0.780
skullMiniHalf 3000  0.20 |  87.27 |  87.27→  75.96 | -41.91→ -98.80 |-56.885±1.134
skullR150   50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullR150  200  0.10 |  14.56 |  14.56→  12.04 |   5.72→   4.97 | -0.746±0.034
skullR150  500  0.10 |  52.98 |  52.98→  46.60 |   3.44→   0.99 | -2.442±0.065
skullR150 1000  0.10 |  72.32 |  72.32→  64.46 |  -5.78→  -9.07 | -3.294±0.069
skullR150 1500  0.10 |  79.41 |  79.41→  71.03 | -16.04→ -19.66 | -3.624±0.076
skullR150 2000  0.10 |  82.99 |  82.99→  74.39 | -26.75→ -30.53 | -3.789±0.080
skullR150 3000  0.10 |  86.49 |  86.49→  77.57 | -49.33→ -53.33 | -3.991±0.082
skullR150   50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullR150  200  0.20 |  19.40 |  19.40→  16.00 |   7.81→   6.52 | -1.288±0.043
skullR150  500  0.20 |  57.12 |  57.12→  49.28 |   8.83→   5.42 | -3.408±0.073
skullR150 1000  0.20 |  74.60 |  74.60→  65.10 |   0.92→  -3.39 | -4.311±0.085
skullR150 1500  0.20 |  81.03 |  81.03→  70.75 |  -8.47→ -13.18 | -4.717±0.083
skullR150 2000  0.20 |  84.16 |  84.16→  73.59 | -19.37→ -24.26 | -4.886±0.091
skullR150 3000  0.20 |  87.27 |  87.27→  76.29 | -41.91→ -47.02 | -5.105±0.088
skullR400   50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullR400  200  0.10 |  14.56 |  14.56→  11.91 |   5.72→   4.82 | -0.893±0.039
skullR400  500  0.10 |  52.98 |  52.98→  41.97 |   3.44→  -1.55 | -4.987±0.095
skullR400 1000  0.10 |  72.32 |  72.32→  57.68 |  -5.78→ -12.56 | -6.783±0.103
skullR400 1500  0.10 |  79.41 |  79.41→  63.29 | -16.04→ -23.56 | -7.526±0.118
skullR400 2000  0.10 |  82.99 |  82.99→  66.15 | -26.75→ -34.63 | -7.889±0.120
skullR400 3000  0.10 |  86.49 |  86.49→  68.94 | -49.33→ -57.59 | -8.255±0.114
skullR400   50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullR400  200  0.20 |  19.40 |  19.40→  15.67 |   7.81→   6.30 | -1.506±0.047
skullR400  500  0.20 |  57.12 |  57.12→  42.92 |   8.83→   2.23 | -6.597±0.102
skullR400 1000  0.20 |  74.60 |  74.60→  56.53 |   0.92→  -7.56 | -8.486±0.120
skullR400 1500  0.20 |  81.03 |  81.03→  61.28 |  -8.47→ -17.77 | -9.304±0.122
skullR400 2000  0.20 |  84.16 |  84.16→  63.60 | -19.37→ -29.08 | -9.706±0.134
skullR400 3000  0.20 |  87.27 |  87.27→  65.96 | -41.91→ -51.99 |-10.075±0.125
skullR50    50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullR50   200  0.10 |  14.56 |  14.56→  12.08 |   5.72→   5.30 | -0.416±0.018
skullR50   500  0.10 |  52.98 |  52.98→  47.09 |   3.44→   2.21 | -1.223±0.036
skullR50  1000  0.10 |  72.32 |  72.32→  65.47 |  -5.78→  -7.37 | -1.591±0.037
skullR50  1500  0.10 |  79.41 |  79.41→  72.24 | -16.04→ -17.76 | -1.728±0.041
skullR50  2000  0.10 |  82.99 |  82.99→  75.81 | -26.75→ -28.52 | -1.773±0.043
